ID,User ID,Title,Description,Solution,Created At,Resolved By,Solution Satisfaction,Ticket Status,Ticket Priority,Tags List,Resolution Time
7aaef40c060d2e8be8e5e23e3f7ea0a9,23463b99b62a72f26ed677cc556c44e8,TicketTest1,This a test ticket,,2024-03-13 21:50:48,0,False,Open,0.75,a,
56f6e8e7108049e8f04a98d90b08bdd5,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 1,student created ticket 1 for testing purpose,,2024-03-31 08:00:25,0,False,Open,0.5,support urgent help,
74b4a951bb69d9b2180187132a721747,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 2,student created ticket 2 for testing purpose,,2024-03-31 08:01:42,0,False,Open,0.75,support urgent help livesession,
dacd75ddfa697ba4646197e9a195a823,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 3,student created ticket 3 for testing purpose,,2024-03-31 08:01:59,0,False,Open,0.15,livesession,
c9ec3fb572a0fe7000d0cebe496f80ff,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket deleted,student created ticket 4 for deleting purpose,,2024-03-31 08:12:32,0,False,Open,0.15,delete,
a3cbe208e78044ca4d17baf7bfab5358,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket as a student,i am working on this ticket for very long time,,2024-04-01 20:05:30,0,False,Open,0.15,"ST Course, Live Session, Graded Assignment",
c080fd3e616fbcacf4c9e9cf3a274c36,b8aeec8b91548b073d2b7e42f9d1328d,this test webhook ,i am going to test webhook message,,2024-04-02 17:26:29,0,False,Open,0.75,"SE Course, Practice Assignment, Subject",
d7a82a59bf3b4f8f4050c02a4d2d7397,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket to test webhook,this is to test webhook,,2024-04-02 17:28:35,0,False,Open,0.75,"Subject, Live Session",
ee5e08aa093ed21751a2151f9d105380,b8aeec8b91548b073d2b7e42f9d1328d,this test webhook ,test webhook,,2024-04-02 17:33:57,0,False,Open,0.75,"Practice Assignment, Subject",
f0c01856dbbb988b71b241fc34effb04,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket as a student webhookk,webhokkkkkk,let me resolve this ticket.,2024-04-02 17:39:43,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"SE Course, OPPE",
b2dc6464a4c6658347b50c60309005fe,b8aeec8b91548b073d2b7e42f9d1328d,a new ticket to test webhook,i gave successfully tested webhook,i need better questions,2024-04-02 17:42:17,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"SE Course, OPPE",
61dbb491ddbee16518891d109f9767a9,b8aeec8b91548b073d2b7e42f9d1328d,notification test,i want to test notification ,iu,2024-04-02 17:45:34,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Practice Assignment, Subject",
b9bf537987e8b501632397edee3148f0,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a new ticket to test webhook,i am creating a new ticket to test webhook description i want to edit it. i want ti edit is again,yu fool,2024-04-02 18:13:40,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.5,"Graded Assignment, Subject",
5315eeec0fa6e31d9373294b7b15b9c5,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket to test new webhook design,i am creating a ticket to test new webhook design description,ty,2024-04-03 10:19:40,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Practice Assignment, OPPE",
eed8697b368ab34e99c305d53b015c17,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket as a student to test webhook,optinoal ,bye bye,2024-04-03 10:23:45,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"ST Course, Activity Question",
8cf9d67dc864732858369bd0fd675e55,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,This question looks incorrect,get out,2024-04-03 10:26:59,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Graded Assignment, ST Course",
8da7aee8dea5eae0b8e5876c71822997,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,This question seems wrong,tih why are you asking fool,2024-04-03 10:30:11,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"OPPE, Activity Question",
53c1228ebef0da3bf2594dbd9c92adda,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,this question is wrong,Why are you picking up wrong question fool,2024-04-03 10:31:39,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"OPPE, Activity Question",
957337a35bd8a3df0fdbeda37c942ff0,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,new test 1,answer test 2,2024-04-03 10:33:48,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Practice Assignment, Graded Assignment",
edd02ee99a36005583856ebe15a29161,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,wwwww,Do you thick this is a ticket question you fool. I will ban you,2024-04-03 10:34:29,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Practice Assignment, ST Course",
f8aebb76ac751f4f5939f547ea82532f,b8aeec8b91548b073d2b7e42f9d1328d,Week 9 GA Q23,rt,hell to y,2024-04-03 10:35:28,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Activity Question, Live Session",
1340f9086b57da21ea17485e61230f94,b8aeec8b91548b073d2b7e42f9d1328d,Test Webhook,Nice looking Webhook it is,This is nice looking webhook,2024-04-03 13:03:35,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Portal Down, SE Course",
ee198600970980a13da092c69ba78b2e,b8aeec8b91548b073d2b7e42f9d1328d,a new ticket on 12april,a new ticket on 12april,,2024-04-12 21:29:20,0,False,Open,0.15,"OPPE, Practice Assignment",
c1b3b3f1e5f75a0c0cef9224f5d17e39,057a564b37454b5314f89741b73656f4,New Ticket for bezos,Hii! I am new user,,2024-04-13 19:12:16,0,False,Open,0.75,"OPPE, Graded Assignment",
12d3f4621c04afa205434972eee42b64,b8aeec8b91548b073d2b7e42f9d1328d,This is the new ticket sample ticket ,sample ticket ,,2024-04-15 20:22:45,0,False,Open,0.15,"Practice Assignment, Not Submitted",
059e0311245d23dde92bf7791e40cea2,b8aeec8b91548b073d2b7e42f9d1328d,This is the new ticket sample ticket ,sample post for discourse,,2024-04-15 20:26:06,0,False,Open,0.15,,
d6d603ad3d04000f3b2d4ca2c28c3d71,b8aeec8b91548b073d2b7e42f9d1328d,this is a sample ticket ,creating a sample ticket .,,2024-04-15 20:31:26,0,False,Open,0.15,Not Submitted,
4d662f88d17b60dd5b5f9bafd19b98d5,b8aeec8b91548b073d2b7e42f9d1328d,This is the new ticket ,this is a sample code.,,2024-04-15 20:49:56,0,False,Open,0.15,Graded Assignment,
d84d9fee7477c534e8dcef0e5a47f168,7841a97399e4e0035e1215b307c2461d,This is a sample ticket I am creating.,This is a sample ticket for discourse,,2024-04-16 16:38:26,0,False,Open,,Graded Assignment,
681dacf507714480fe7415174acc6022,06710f3300c1d08019959f78c14afa0d,Issue with the portal .,"The portal has been down for the last 40 mins , the graded assignment deadline is near.",,2024-04-17 09:39:41,0,False,Open,0.5,Portal Down,
